class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_2050_dpr,,,,,,,,,,,,,,,,,,,,
### transshipment based on e-highway 2050,,,,,,,,,,,,,,,,,,,,
"### Offshore, Onshore, Solar, Biomass, ror, pumped storage DE based on e-highway",,,,,,,,,,,,,,,,,,,,
### further storage based on Cebulla,,,,,,,,,,,,,,,,,,,,
### Onshore in Germany limited by maximum burden level of 0.7: total installed capacity 54142.941 MW,,,,,,,,,,,,,,,,,,,,
### Missing onshore production of 103 Twh replaced with 25.9543646399 GW extra offshore capacity,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Storage,BE_storage_pumped_hydro,BE_storage_pumped_hydro,BE_bus_el,,2308,,,,,,0,,,,,,,,,
Storage,BE_storage_pumped_hydro,BE_bus_el,BE_storage_pumped_hydro,,2308,,,,,,0,,12000,0,0.894,0.894,0.5,0,1,
Storage,BE_storage_redox_flow,BE_storage_redox_flow,BE_bus_el,,10.82,,,,,,0,,,,,,,,,
Storage,BE_storage_redox_flow,BE_bus_el,BE_storage_redox_flow,,10.82,,,,,,0,,36.08,0,0.866,0.866,0.5,0,1,
Sink,BE_load,BE_bus_el,BE_load,,21753,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### CH,,,,,,,,,,,,,,,,,,,,
Sink,CH_excess,CH_bus_el,CH_excess,,,,,,,,0.00000001,,,,,,,,,
Source,CH_shortage,CH_shortage,CH_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,CH_pp_gas,CH_pp_gas,CH_bus_el,0.425,2000,,,,,24000,0.5,,,,,,,,,
LinearTransformer,CH_pp_gas,GL_bus_gas,CH_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,CH_pp_biomass,CH_pp_biomass,CH_bus_el,0.38,1250,,,3153,,29000,3.9,,,,,,,,,
LinearTransformer,CH_pp_biomass,GL_bus_biomass,CH_pp_biomass,,,,,,,,,,,,,,,,,
Source,CH_run_of_river,CH_run_of_river,CH_bus_el,,4123,,,,0.65,,,TRUE,,,,,,,,
Source,CH_hydro,CH_hydro,CH_bus_el,,8130,,,2596,,,,,,,,,,,,
Source,CH_solar,CH_solar,CH_bus_el,,15000,,,,seq,,,TRUE,,,,,,,,
Source,CH_wind_onshore,CH_wind_onshore,CH_bus_el,,1382,,,,seq,,,TRUE,,,,,,,,
Storage,CH_storage_a_caes,CH_storage_a_caes,CH_bus_el,,26.37,,,,,,0,,,,,,,,,
Storage,CH_storage_a_caes,CH_bus_el,CH_storage_a_caes,,26.37,,,,,,0,,79.11,0,0.837,0.837,0.5,0,1,
Storage,CH_storage_hydrogen,CH_storage_hydrogen,CH_bus_el,,10.55,,,,,,0,,,,,,,,,
Storage,CH_storage_hydrogen,CH_bus_el,CH_storage_hydrogen,,10.55,,,,,,0,,105.49,0,0.632,0.632,0.5,0,1,
Storage,CH_storage_lithium_ion,CH_storage_lithium_ion,CH_bus_el,,269.01,,,,,,0,,,,,,,,,
Storage,CH_storage_lithium_ion,CH_bus_el,CH_storage_lithium_ion,,269.01,,,,,,0,,1345.05,0,0.975,0.975,0.5,0,1,
Storage,CH_storage_pumped_hydro,CH_storage_pumped_hydro,CH_bus_el,,5443,,,,,,0,,,,,,,,,
Storage,CH_storage_pumped_hydro,CH_bus_el,CH_storage_pumped_hydro,,5443,,,,,,0,,1656000,0,0.894,0.894,0.5,0,1,
Storage,CH_storage_redox_flow,CH_storage_redox_flow,CH_bus_el,,21.1,,,,,,0,,,,,,,,,
Storage,CH_storage_redox_flow,CH_bus_el,CH_storage_redox_flow,,21.1,,,,,,0,,70.33,0,0.866,0.866,0.5,0,1,
Sink,CH_load,CH_bus_el,CH_load,,14034,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### CZ,,,,,,,,,,,,,,,,,,,,
