class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
LinearTransformer,CZ_pp_gas,GL_bus_gas,CZ_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,CZ_pp_biomass,CZ_bus_el,"0,38",5000,,,3004,,29000,"3,9",,,,,,,,,
LinearTransformer,CZ_pp_biomass,GL_bus_biomass,CZ_pp_biomass,,,,,,,,,,,,,,,,,
Source,CZ_run_of_river,CZ_run_of_river,CZ_bus_el,,455,,,,"0,65",,,TRUE,,,,,,,,
Source,CZ_hydro,CZ_hydro,CZ_bus_el,,819,,,1603,,,,,,,,,,,,
Source,CZ_solar,CZ_solar,CZ_bus_el,,13048,,,,seq,,,TRUE,,,,,,,,
Source,CZ_wind_onshore,CZ_wind_onshore,CZ_bus_el,,10234,,,,seq,,,TRUE,,,,,,,,
Storage,CZ_storage_a_caes,CZ_storage_a_caes,CZ_bus_el,,"935,97",,,,,,0,,,,,,,,,
Storage,CZ_storage_a_caes,CZ_bus_el,CZ_storage_a_caes,,"935,97",,,,,,0,,"2807,91",0,"0,837","0,837","0,5",0,1,
Storage,CZ_storage_hydrogen,CZ_storage_hydrogen,CZ_bus_el,,"168,9",,,,,,0,,,,,,,,,
Storage,CZ_storage_hydrogen,CZ_bus_el,CZ_storage_hydrogen,,"168,9",,,,,,0,,"1688,97",0,"0,632","0,632","0,5",0,1,
Storage,CZ_storage_lithium_ion,CZ_storage_lithium_ion,CZ_bus_el,,"2452,53",,,,,,0,,,,,,,,,
Storage,CZ_storage_lithium_ion,CZ_bus_el,CZ_storage_lithium_ion,,"2452,53",,,,,,0,,"12262,64",0,"0,975","0,975","0,5",0,1,
Storage,CZ_storage_pumped_hydro,CZ_storage_pumped_hydro,CZ_bus_el,,1787,,,,,,0,,,,,,,,,
Storage,CZ_storage_pumped_hydro,CZ_bus_el,CZ_storage_pumped_hydro,,1787,,,,,,0,,39000,0,"0,894","0,894","0,5",0,1,
Storage,CZ_storage_redox_flow,CZ_storage_redox_flow,CZ_bus_el,,"21,11",,,,,,0,,,,,,,,,
Storage,CZ_storage_redox_flow,CZ_bus_el,CZ_storage_redox_flow,,"21,11",,,,,,0,,"70,37",0,"0,866","0,866","0,5",0,1,
Sink,CZ_load,CZ_bus_el,CZ_load,,12637,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DE,,,,,,,,,,,,,,,,,,,,
Sink,DE_excess,DE_bus_el,DE_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,DE_shortage,DE_shortage,DE_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DE_pp_biomass,DE_pp_biomass,DE_bus_el,"0,38","27748,7996426284",,,2514,,29000,"3,9",,,,,,,,,
LinearTransformer,DE_pp_biomass,GL_bus_biomass,DE_pp_biomass,,,,,,,,,,,,,,,,,
Source,DE_run_of_river,DE_run_of_river,DE_bus_el,,"4236,4421048915",,,,"0,65",,,TRUE,,,,,,,,
Source,DE_solar,DE_solar,DE_bus_el,,"97414,3266277062",,,,seq,,,TRUE,,,,,,,,
Source,DE_wind_onshore,DE_wind_onshore,DE_bus_el,,"98326,002",,,,seq,,,TRUE,,,,,,,,
Source,DE_wind_offshore,DE_wind_offshore,DE_bus_el,,27000,,,,seq,,,TRUE,,,,,,,,
Source,DE_geothermal,DE_geothermal,DE_bus_el,,"2156,731",,,,"0,95",,,TRUE,,,,,,,,
Storage,DE_storage_a_caes,DE_storage_a_caes,DE_bus_el,,"3430,99",,,,,,0,,,,,,,,,
Storage,DE_storage_a_caes,DE_bus_el,DE_storage_a_caes,,"3430,99",,,,,,0,,"10292,97",0,"15,066","15,066","0,5",0,1,
Storage,DE_storage_hydrogen,DE_storage_hydrogen,DE_bus_el,,"10100,01",,,,,,0,,,,,,,,,
Storage,DE_storage_hydrogen,DE_bus_el,DE_storage_hydrogen,,"10100,01",,,,,,0,,101000,0,"11,376","11,376","0,5",0,1,
Storage,DE_storage_lithium_ion,DE_storage_lithium_ion,DE_bus_el,,15650,,,,,,0,,,,,,,,,
